suite,figure_id,parameter_name,parameter_label,parameter_unit,parameter_value,method,mean_r1,std_r1,mean_r2,std_r2,mean_r3,std_r3,mean_total_handovers,std_total_handovers,policy_episode,eval_seed_count,training_episodes,checkpoint_kind
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,30.0,DQN_scalar,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,30.0,DQN_throughput,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,30.0,MODQN,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,30.0,RSS_max,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,-1,5,0,not-applicable
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,60.0,DQN_scalar,174.6186603832245,0.5547765308352102,-0.462,0.006782329983125253,-174.61866038322393,0.5547765308352063,92.4,1.3564659966250536,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,60.0,DQN_throughput,174.6186603832245,0.5547765308352102,-0.422,0.010770329614269,-174.61866038322393,0.5547765308352063,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,60.0,MODQN,174.6186603832245,0.5547765308352102,-0.422,0.010770329614269,-174.61866038322393,0.5547765308352063,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,60.0,RSS_max,174.6186603832245,0.5547765308352102,-0.462,0.006782329983125253,-174.61866038322393,0.5547765308352063,92.4,1.3564659966250536,-1,5,0,not-applicable
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,90.0,DQN_scalar,174.61862695312502,0.5547906048756888,-0.462,0.006782329983125253,-174.61862695312442,0.5547906048762555,92.4,1.3564659966250536,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,90.0,DQN_throughput,174.61862695312502,0.5547906048756888,-0.422,0.010770329614269,-174.61862695312442,0.5547906048762555,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,90.0,MODQN,174.61862695312502,0.5547906048756888,-0.422,0.010770329614269,-174.61862695312442,0.5547906048762555,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,90.0,RSS_max,174.61862695312502,0.5547906048756888,-0.462,0.006782329983125253,-174.61862695312442,0.5547906048762555,92.4,1.3564659966250536,-1,5,0,not-applicable
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,120.0,DQN_scalar,174.61859187316895,0.5548046313474445,-0.462,0.006782329983125253,-174.61859187316853,0.554804631347462,92.4,1.3564659966250536,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,120.0,DQN_throughput,174.61859187316895,0.5548046313474445,-0.422,0.010770329614269,-174.61859187316853,0.554804631347462,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,120.0,MODQN,174.61859187316895,0.5548046313474445,-0.422,0.010770329614269,-174.61859187316853,0.554804631347462,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,120.0,RSS_max,174.61859187316895,0.5548046313474445,-0.462,0.006782329983125253,-174.61859187316853,0.554804631347462,92.4,1.3564659966250536,-1,5,0,not-applicable
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,150.0,DQN_scalar,174.61855535316468,0.5548189951725045,-0.462,0.006782329983125253,-174.61855535316462,0.5548189951735265,92.4,1.3564659966250536,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,150.0,DQN_throughput,174.61855535316468,0.5548189951725045,-0.422,0.010770329614269,-174.61855535316462,0.5548189951735265,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,150.0,MODQN,174.61855535316468,0.5548189951725045,-0.422,0.010770329614269,-174.61855535316462,0.5548189951735265,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-5,Fig. 5,user_speed_kmh,User Speed,km/h,150.0,RSS_max,174.61855535316468,0.5548189951725045,-0.462,0.006782329983125253,-174.61855535316462,0.5548189951735265,92.4,1.3564659966250536,-1,5,0,not-applicable
