suite,figure_id,parameter_name,parameter_label,parameter_unit,parameter_value,method,mean_r1,std_r1,mean_r2,std_r2,mean_r3,std_r3,mean_total_handovers,std_total_handovers,policy_episode,eval_seed_count,training_episodes,checkpoint_kind
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.0,DQN_scalar,174.67271057510374,0.5548326007657124,-0.462,0.006782329983125253,-174.67271057510416,0.5548326007652747,92.4,1.3564659966250536,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.0,DQN_throughput,174.67271057510374,0.5548326007657124,-0.422,0.010770329614269,-174.67271057510416,0.5548326007652747,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.0,MODQN,174.67271057510374,0.5548326007657124,-0.422,0.010770329614269,-174.67271057510416,0.5548326007652747,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.0,RSS_max,174.67271057510374,0.5548326007657124,-0.462,0.006782329983125253,-174.67271057510416,0.5548326007652747,92.4,1.3564659966250536,-1,5,0,not-applicable
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.2,DQN_scalar,174.64607526016235,0.5547974360923551,-0.462,0.006782329983125253,-174.64607526016164,0.5547974360925042,92.4,1.3564659966250536,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.2,DQN_throughput,174.64607526016235,0.5547974360923551,-0.422,0.010770329614269,-174.64607526016164,0.5547974360925042,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.2,MODQN,174.64607526016235,0.5547974360923551,-0.422,0.010770329614269,-174.64607526016164,0.5547974360925042,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.2,RSS_max,174.64607526016235,0.5547974360923551,-0.462,0.006782329983125253,-174.64607526016164,0.5547974360925042,92.4,1.3564659966250536,-1,5,0,not-applicable
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.4,DQN_scalar,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.4,DQN_throughput,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.4,MODQN,174.61869176864622,0.5547623678954213,-0.422,0.010770329614269,-174.61869176864755,0.5547623678941013,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.4,RSS_max,174.61869176864622,0.5547623678954213,-0.462,0.006782329983125253,-174.61869176864755,0.5547623678941013,92.4,1.3564659966250536,-1,5,0,not-applicable
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.6,DQN_scalar,174.59056163215638,0.5547267665912144,-0.462,0.006782329983125253,-174.59056163215683,0.5547267665904142,92.4,1.3564659966250536,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.6,DQN_throughput,174.59056163215638,0.5547267665912144,-0.422,0.010770329614269,-174.59056163215683,0.5547267665904142,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.6,MODQN,174.59056163215638,0.5547267665912144,-0.422,0.010770329614269,-174.59056163215683,0.5547267665904142,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.6,RSS_max,174.59056163215638,0.5547267665912144,-0.462,0.006782329983125253,-174.59056163215683,0.5547267665904142,92.4,1.3564659966250536,-1,5,0,not-applicable
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.8,DQN_scalar,174.5616852912903,0.5546906080212805,-0.462,0.006782329983125253,-174.56168529129053,0.5546906080202393,92.4,1.3564659966250536,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.8,DQN_throughput,174.5616852912903,0.5546906080212805,-0.422,0.010770329614269,-174.56168529129053,0.5546906080202393,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.8,MODQN,174.5616852912903,0.5546906080212805,-0.422,0.010770329614269,-174.56168529129053,0.5546906080202393,84.4,2.1540659228538015,49,5,50,best-weighted-reward-on-eval
fig-6,Fig. 6,satellite_speed_km_s,Satellite Speed,km/s,7.8,RSS_max,174.5616852912903,0.5546906080212805,-0.462,0.006782329983125253,-174.56168529129053,0.5546906080202393,92.4,1.3564659966250536,-1,5,0,not-applicable
