suite,figure_id,parameter_name,parameter_label,parameter_unit,parameter_value,method,weight_label,w1,w2,w3,mean_scalar_reward,std_scalar_reward,policy_episode,eval_seed_count,training_episodes,checkpoint_kind
fig-3,Fig. 3,user_count,User Count,users,40.0,DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,130.73484617328646,0.9072294242020578,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,40.0,DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,130.73559617328644,0.9027457604724818,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,40.0,MODQN,0.5/0.3/0.2,0.5,0.3,0.2,130.73559617328644,0.9027457604724818,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,40.0,RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,130.73109617328643,0.9057261537447565,-1,5,0,not-applicable
fig-3,Fig. 3,user_count,User Count,users,60.0,DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,87.26988182449342,0.2781418246716443,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,60.0,DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,87.28188182449342,0.27635028963941094,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,60.0,MODQN,0.5/0.3/0.2,0.5,0.3,0.2,87.28188182449342,0.27635028963941094,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,60.0,RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,87.26988182449342,0.2781418246716443,-1,5,0,not-applicable
fig-3,Fig. 3,user_count,User Count,users,80.0,DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,65.40502864694561,0.3633314190576408,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,80.0,DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,65.40840364694559,0.3683576242827594,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,80.0,MODQN,0.5/0.3/0.2,0.5,0.3,0.2,65.40840364694559,0.3683576242827594,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,80.0,RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,65.39565364694559,0.3676485530886882,-1,5,0,not-applicable
fig-3,Fig. 3,user_count,User Count,users,100.0,DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,100.0,DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,100.0,MODQN,0.5/0.3/0.2,0.5,0.3,0.2,52.259007530593614,0.1661730689626825,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,100.0,RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,52.2470075305936,0.16651462583019078,-1,5,0,not-applicable
fig-3,Fig. 3,user_count,User Count,users,120.0,DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,43.54739833593332,0.11215818186523085,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,120.0,DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,43.54739833593332,0.11215818186523085,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,120.0,MODQN,0.5/0.3/0.2,0.5,0.3,0.2,43.55289833593333,0.11272784134902737,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,120.0,RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,43.53814833593333,0.10914826012582801,-1,5,0,not-applicable
fig-3,Fig. 3,user_count,User Count,users,140.0,DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,37.31314322560155,0.07620909394892485,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,140.0,DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,37.30050036845869,0.0740142356058206,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,140.0,MODQN,0.5/0.3/0.2,0.5,0.3,0.2,37.3122860827444,0.07642394018133072,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,140.0,RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,37.30050036845869,0.0740142356058206,-1,5,0,not-applicable
fig-3,Fig. 3,user_count,User Count,users,160.0,DQN_scalar,0.5/0.3/0.2,0.5,0.3,0.2,32.640721549809015,0.04603681481298193,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,160.0,DQN_throughput,0.5/0.3/0.2,0.5,0.3,0.2,32.64278404980901,0.04449403431521928,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,160.0,MODQN,0.5/0.3/0.2,0.5,0.3,0.2,32.640721549809015,0.04603681481298193,49,5,50,best-weighted-reward-on-eval
fig-3,Fig. 3,user_count,User Count,users,160.0,RSS_max,0.5/0.3/0.2,0.5,0.3,0.2,32.63190904980901,0.043696648680310535,-1,5,0,not-applicable
